"Timestamp","Bu formu hangi dilde doldurmak istersiniz?
Which language would you like to complete this form in?","1- Please select the name of your department or major. (If you have a double major, please select your main department.)","2-Are you currently enrolled in a double major or minor program?","3- What is your current year of study?","4- Please indicate your age group.","5- Which of the following best describes your gender identity?","6- Please indicate your current cumulative GPA (on a 4.00 scale).","7- Are you currently employed, interning, or working freelance?","8-I believe my university education adequately prepares me for employment. (1 = Strongly disagree → 5 = Strongly agree)","9- I am satisfied with the career support and resources provided by my university. (1 = Strongly disagree → 5 = Strongly agree)","10- I feel confident in my technical and professional skills (e.g., programming, communication, teamwork).","11- How often do you participate in skill-building activities (courses, workshops, certificates, competitions)?","12- How active are you in building your professional network (career events, LinkedIn, mentorship, etc.)?","13- After completing your degree, what is your primary plan?","14- How confident are you that this gap year will benefit your future career or education?","15- What do you plan to do during your gap year?","14- How do you plan to finance your business?","15- In which sector are you planning to build your business? (Select all options that apply.)","14- How confident are you in finding a job within 6 months after graduation?","15- Do you plan to work in a field directly related to your major?","14- What is your main reason for wanting to pursue a Master’s or PhD degree?","15- What is the most important criteria for you when choosing a graduate program?","14- How certain are you about this plan? (1 = Not certain / 5 = Very certain)","15-When do you expect to start implementing this plan?","16- Where would you ideally like to work five years from now?","17- What is your expected net monthly salary for your first full-time job (in TL)? Please specify an approximate range.","18- Which working style do you prefer for your future job?","19- Financial security is the single most important aspect when choosing my first job (1 = Strongly disagree → 5 = Strongly agree)","20- I expect to stay at my first job for less than three years.","21- I believe my diploma alone will be enough for me to find a good job. (1 = Strongly disagree → 5 = Strongly agree)","22- I think I might need a second job to maintain a decent standard of living. (1 = Strongly disagree → 5 = Strongly agree)","23- Having flexibility (remote work, flexible hours) is a priority for me in a job. (1 = Strongly disagree → 5 = Strongly agree)","24- I am open to considering work opportunities abroad. (1 = Strongly disagree → 5 = Strongly agree)","25- I think work–life balance is more important than career prestige. (1 = Strongly disagree → 5 = Strongly agree)","26- I would accept a lower salary for a job that aligns with my values. (1 = Strongly disagree → 5 = Strongly agree)","27- I believe I need to work more than 40 hours a week to earn a high salary. (1 = Strongly disagree → 5 = Strongly agree)","28- I believe my long-term career success depends more on luck than on hard work. (1 = Strongly disagree → 5 = Strongly agree)","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [Work–life balance]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ High salary & benefits]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Meaningful work (positive social impact)]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Career stability]","29-  Please order the following from 1 (most important) to 5 (least important) according to your priorities. Each number can be used only once. [ Autonomy & independence]"
2025-11-03 15:48:14.858,"İngilizce-English","Statistics","No","3rd year","21–23","Male","3.51–4.0","Yes, full-time",2,2,3,"Never","Somewhat active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"Abroad","100,000+","Fully remote",3,3,1,4,4,5,5,5,3,3,"1  (Most important)","5  (Least important)","2.0","4.0","3.0"
2025-11-03 15:59:38.586,"İngilizce-English","Physics","No","3rd year","21–23","Male","3.01–3.5","No",2,4,2,"Rarely","Rarely active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain in-depth knowledge of my field","University reputation",NA,NA,"Abroad","30,000–49,999","Hybrid",2,1,1,4,3,5,3,5,1,2,"2.0","5  (Least important)","4.0","3.0","1  (Most important)"
2025-11-03 16:40:03.681,"İngilizce-English","Mathematics","No","3rd year","21–23","Male","2.51–3.0","No",2,2,3,"Often","Rarely active","Seek full-time employment",NA,NA,NA,NA,3,"Probably yes",NA,NA,NA,NA,"Abroad","50,000–69,999","Hybrid",4,3,1,3,4,5,4,3,1,3,"1  (Most important)","2.0","5  (Least important)","3.0","4.0"
2025-11-03 19:16:55.073,"İngilizce-English","Civil Engineering","No","5+ (Other)","24 and over","Male","2.01–2.5","No",3,5,5,"Sometimes","Somewhat active","Seek full-time employment",NA,NA,NA,NA,5,"Probably yes",NA,NA,NA,NA,"Abroad","50,000–69,999","Hybrid",3,3,4,2,3,5,5,2,4,1,"3.0","1  (Most important)","2.0","4.0","5  (Least important)"
2025-11-03 19:58:35.99,"İngilizce-English","Industrial Design","No","1st year","18–20","Male","3.51–4.0","Yes, part-time",3,3,3,"Often","Rarely active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To settle abroad easier","Location (country / city)",NA,NA,"Abroad","30,000–49,999","Hybrid",3,4,4,4,4,5,5,5,2,4,"2.0","4.0","5  (Least important)","3.0","1  (Most important)"
2025-11-03 20:24:14.304,"İngilizce-English","Mathematics","Yes, a double major","3rd year","21–23","Male","3.01–3.5","No",1,1,3,"Sometimes","Often active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"Academic career goal (research or teaching position)","Scholarship or financial support opportunities",NA,NA,"Abroad","50,000–69,999","In-office",4,1,1,3,2,5,3,5,3,4,"4.0","5  (Least important)","3.0","2.0","1  (Most important)"
2025-11-03 21:05:48.608,"İngilizce-English","Civil Engineering","No","3rd year","21–23","Male","3.51–4.0","Yes, part-time",3,1,5,"Rarely","Not active at all","Start your own business",NA,NA,"Government or university grants","Manufacturing / Engineering",NA,NA,NA,NA,NA,NA,"I don’t know","50,000–69,999","Hybrid",3,3,2,2,3,4,4,4,2,2,"2.0","3.0","4.0","5  (Least important)","1  (Most important)"
2025-11-03 22:11:17.214,"İngilizce-English","Mechanical Engineering","No","3rd year","21–23","Male","3.01–3.5","No",5,4,4,"Never","Not active at all","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"Self-employed","70,000–99,999","Hybrid",4,3,3,2,2,5,3,3,2,2,"2.0","1  (Most important)","5  (Least important)","4.0","3.0"
2025-11-03 22:12:13.748,"İngilizce-English","Business Administration","No","1st year","18–20","Female","3.51–4.0","No",4,4,4,"Very often","Very active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"Abroad","50,000–69,999","In-office",3,4,2,2,3,5,2,2,3,4,"3.0","5  (Least important)","2.0","4.0","1  (Most important)"
2025-11-04 09:16:32.156,"İngilizce-English","International Relations","Yes, a minor","3rd year","18–20","Female","3.51–4.0","No",2,2,4,"Very often","Often active","Pursue a Master’s or PhD",NA,NA,NA,NA,NA,NA,"To gain a competitive advantage in the job market","University reputation",NA,NA,"Abroad","70,000–99,999","In-office",4,4,2,2,1,5,3,4,3,3,"2.0","1  (Most important)","3.0","4.0","5  (Least important)"
