"Timestamp","Bu formu hangi dilde doldurmak istersiniz?
Which language would you like to complete this form in?","1-Lütfen okuduğunuz bölümün veya anadalınızın adını seçiniz. (Eğer çift anadal yapıyorsanız, ana bölümünüzü belirtiniz.)","2- Şu anda çift anadal veya yandal programına kayıtlı mısınız?","3- Şu anda hangi sınıf düzeyindesiniz?","4-Lütfen yaş aralığınızı belirtiniz.","5-Cinsiyet kimliğinizi aşağıdakilerden hangisi en iyi tanımlar?","6-Lütfen güncel genel not ortalamanızı (4.00 üzerinden) belirtiniz.","7-Şu anda herhangi bir işte, stajda veya serbest (freelance) pozisyonda çalışıyor musunuz?","8-Üniversite eğitimimin beni işe yeterince hazırladığını düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","9-Üniversitemdeki kariyerle ilgili desteklerden ve kaynaklardan memnunum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","10-Mesleki ve teknik becerilerime (programlama, iletişim, ekip çalışması vb.) güveniyorum.
","11-Beceri geliştirme etkinliklerine (kurs, atölye, sertifika, yarışma vb.) ne sıklıkla katılıyorsunuz?
","12-Profesyonel bağlantı kurma konusunda (etkinlikler, LinkedIn, mentorluk vb.) ne kadar aktifsiniz?
","13-Mezuniyet sonrası öncelikli planınız nedir?
","14-Bu boş yılın (gap year) gelecekteki kariyerinize veya eğitiminize faydalı olacağından ne kadar eminsiniz?","15-Boş yılınız (gap year) boyunca ne yapmayı planlıyorsunuz?","14-İşinizi nasıl finanse etmeyi planlıyorsunuz?","15-İşinizi hangi sektörde kurmayı planlıyorsunuz?(Size uygun olan tüm seçenekleri seçiniz.)","14-Mezuniyetten sonraki 6 ay içinde iş bulma konusunda kendinize güveniniz:
","15-Bölümünüzle doğrudan ilgili bir alanda çalışmayı planlıyor musunuz?","14-Yüksek lisans veya doktora yapmayı istemenizin başlıca nedeni nedir?","15-Program seçiminde sizin için en önemli etken hangisidir?","14-Bu planınızdan ne kadar eminsiniz? (1 = Hiç emin değilim / 5 = Tamamen eminim)","15-Bu planınızı ne zaman uygulamaya başlamayı planlıyorsunuz?","16-Beş yıl sonra nerede çalışmayı hedefliyorsunuz?","17-İlk tam zamanlı işinizde beklediğiniz net aylık maaş nedir (TL)? Lütfen yaklaşık bir aralık belirtiniz.","18- Gelecekteki işiniz için hangi çalışma tarzını tercih edersiniz?","19-İş seçimimde en önemli etkenin maddi güvenlik olduğunu düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","20-İlk işimde üç yıldan az çalışmayı bekliyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","21-Sadece diplomamın iyi bir iş bulmam için yeterli olacağını düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","22- İyi bir yaşam standardı sürdürebilmek için ikinci bir işe ihtiyaç duyabileceğimi düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","23- Bir işte esnek çalışma imkânına (uzaktan çalışma, esnek saatler gibi) sahip olmak benim için önceliklidir. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","24-Yurtdışında çalışma fırsatlarını değerlendirmeye açık olduğumu düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","25- İş–yaşam dengesinin kariyer prestijinden daha önemli olduğunu düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)
","26-Değerlerimle uyumlu bir iş için daha düşük bir maaşı kabul edebilirim. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","27- Yüksek bir gelir düzeyi için haftada 40 saatten fazla çalışmam gerektiğini düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","28-Uzun vadeli kariyer başarımın çalışkanlıktan çok şansa bağlı olduğunu düşünüyorum. (1 = Kesinlikle katılmıyorum → 5 = Tamamen katılıyorum)","29- Aşağıdaki faktörleri 1 (En önemli)’den 5 (En az önemli)’ye kadar önceliklerinize göre sıralayınız. Her sayı yalnızca bir kez kullanılabilir. [ İş–yaşam dengesi]","29- Aşağıdaki faktörleri 1 (En önemli)’den 5 (En az önemli)’ye kadar önceliklerinize göre sıralayınız. Her sayı yalnızca bir kez kullanılabilir. [ Yüksek maaş ve ek olanaklar]","29- Aşağıdaki faktörleri 1 (En önemli)’den 5 (En az önemli)’ye kadar önceliklerinize göre sıralayınız. Her sayı yalnızca bir kez kullanılabilir. [ Anlamlı iş (toplumsal katkı)]","29- Aşağıdaki faktörleri 1 (En önemli)’den 5 (En az önemli)’ye kadar önceliklerinize göre sıralayınız. Her sayı yalnızca bir kez kullanılabilir. [İş güvencesi]","29- Aşağıdaki faktörleri 1 (En önemli)’den 5 (En az önemli)’ye kadar önceliklerinize göre sıralayınız. Her sayı yalnızca bir kez kullanılabilir. [ Otonomi ve bağımsızlık]"
2025-11-03 15:10:03.613,"Türkçe -Turkish","Kimya","Hayır","4. sınıf","21–23","Kadın","2.51–3.0","Hayır",4,4,5,"Nadiren","Ara sıra aktifim","Tam zamanlı işe başlamak",NA,NA,NA,NA,5,"Muhtemelen evet",NA,NA,NA,NA,"Türkiye’de – yerel firma","50.000–69.999","Hibrit",4,2,1,3,4,5,3,3,3,2,"1 (En önemli)","2.0","4.0","3.0","5 (En az önemli)"
2025-11-03 15:18:42.987,"Türkçe -Turkish","Bilgisayar ve Öğretim Teknolojileri Eğitimi","Evet, yandal yapıyorum","3. sınıf","21–23","Erkek","3.51–4.0","Hayır",2,4,3,"Ara sıra","Hiç aktif değilim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Alanımı derinlemesine öğrenmek","Burs / finansal destek olanakları",NA,NA,"Bilmiyorum","30.000–49.999","Hibrit",2,3,2,4,4,5,5,5,5,3,"2.0","4.0","5 (En az önemli)","3.0","1 (En önemli)"
2025-11-03 15:20:24.733,"Türkçe -Turkish","Elektrik ve Elektronik Mühendisliği","Hayır","3. sınıf","21–23","Kadın","3.01–3.5","Hayır",2,1,3,"Nadiren","Nadiren aktifim","Tam zamanlı işe başlamak",NA,NA,NA,NA,3,"Evet",NA,NA,NA,NA,"Türkiye’de – uluslararası firma","50.000–69.999","Ofiste",4,4,3,1,2,5,4,4,1,1,"3.0","2.0","4.0","1 (En önemli)","5 (En az önemli)"
2025-11-03 15:24:11.379,"Türkçe -Turkish","Endüstri Mühendisliği","Hayır","3. sınıf","21–23","Erkek","0–2.0","Hayır",3,2,3,"Hiçbir zaman","Nadiren aktifim","Ara yıl (gap year) vermek",4,"Staj / iş deneyimi",NA,NA,NA,NA,NA,NA,NA,NA,"Türkiye’de – uluslararası firma","50.000–69.999","Ofiste",3,4,2,2,3,5,4,1,1,2,"4.0","3.0","5 (En az önemli)","2.0","1 (En önemli)"
2025-11-03 15:24:36.693,"Türkçe -Turkish","Endüstri Ürünleri Tasarımı","Hayır","4. sınıf","21–23","Erkek","3.01–3.5","Hayır",4,3,4,"Hiçbir zaman","Hiç aktif değilim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Yurtdışında deneyim kazanmak","Konum (ülke / şehir)",NA,NA,"Yurtdışında","50.000–69.999","Hibrit",4,3,2,2,3,5,3,3,3,3,"4.0","1 (En önemli)","2.0","3.0","5 (En az önemli)"
2025-11-03 15:24:54.075,"Türkçe -Turkish","Tarih","Evet, yandal yapıyorum","3. sınıf","21–23","Kadın","3.51–4.0","Evet, yarı zamanlı",3,2,1,"Nadiren","Hiç aktif değilim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Alanımı derinlemesine öğrenmek","Üniversitenin itibarı",NA,NA,"Bilmiyorum","<30.000","Ofiste",1,2,1,3,3,2,2,4,3,2,"2.0","4.0","3.0","5 (En az önemli)","1 (En önemli)"
2025-11-03 15:30:35.678,"Türkçe -Turkish","İstatistik","Hayır","4. sınıf","21–23","Kadın","2.51–3.0","Evet, stajyer olarak",2,2,3,"Nadiren","Nadiren aktifim","Tam zamanlı işe başlamak",NA,NA,NA,NA,5,"Muhtemelen evet",NA,NA,NA,NA,"Kendi işimde","70.000–99.999","Hibrit",3,1,2,1,5,5,5,4,1,3,"1 (En önemli)","5 (En az önemli)","2.0","3.0","4.0"
2025-11-03 15:32:05.364,"Türkçe -Turkish","Elektrik ve Elektronik Mühendisliği","Hayır","3. sınıf","21–23","Erkek","2.01–2.5","Hayır",3,4,5,"Hiçbir zaman","Hiç aktif değilim","Tam zamanlı işe başlamak",NA,NA,NA,NA,5,"Muhtemelen evet",NA,NA,NA,NA,"Türkiye’de – uluslararası firma","50.000–69.999","Hibrit",4,5,3,3,3,5,3,3,5,1,"5 (En az önemli)","1 (En önemli)","4.0","3.0","2.0"
2025-11-03 15:44:40.211,"Türkçe -Turkish","İstatistik","Hayır","2. sınıf","21–23","Kadın","2.01–2.5","Hayır",3,4,3,"Sık sık","Sık aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"Yurtdışında deneyim kazanmak","Konum (ülke / şehir)",NA,NA,"Yurtdışında","30.000–49.999","Hibrit",4,3,1,1,3,5,3,3,3,2,"1 (En önemli)","2.0","5 (En az önemli)","4.0","3.0"
2025-11-03 15:51:36.787,"Türkçe -Turkish","Bilgisayar Mühendisliği","Evet, çift anadal yapıyorum","3. sınıf","21–23","Erkek","3.51–4.0","Hayır",3,4,5,"Hiçbir zaman","Nadiren aktifim","Yüksek lisans veya doktora yapmak",NA,NA,NA,NA,NA,NA,"İş piyasasında rekabet avantajı elde etmek","Üniversitenin itibarı",NA,NA,"Yurtdışında","70.000–99.999","Hibrit",4,5,4,1,5,5,4,3,4,3,"2.0","3.0","4.0","5 (En az önemli)","1 (En önemli)"
